projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
一款實現躺感自由、支撐且透氣的三折床墊｜AlizzZ愛麗絲-特仕版,Annahome,221850,7390,https://www.zeczec.com/projects/alizzz,"棉床本舖的AlizzZ愛麗絲床墊，推出爆炸特仕版囉！ 全新材料兼具支撐與透氣，床墊內材輕鬆更換，三折機能好實用，10晚安心睡，台灣製造工廠新鮮直送,zeczec",40 天,2022/11/20 20:00 – 2022/12/31 23:59,2022/11/20 20:00:00,2022/12/31 23:59:00
【台北時光機 - 臺北辦年貨】兒童繪本x文化桌遊,綠雷德創新,3930,250,https://www.zeczec.com/projects/GRV-LunarQ1,"綠雷德創新原創繪本，跟著繪本漫步去，在故事裡認識老臺北。可以選擇與小朋友共讀繪本，配合桌遊一起玩，看故事邊學邊玩！,zeczec",55 天,2022/11/18 20:00 – 2023/01/15 20:00,2022/11/18 20:00:00,2023/01/15 20:00:00
【 I/TEMS 】保加利亞 100% 純天然香氛蠟燭｜法國調香師 Jean Niel 與藝術家聯名，天然無害的極品饗宴蠟燭,邊看台南商行,62430,1150,https://www.zeczec.com/projects/i-tems,"您知道嗎，味道可以瞬間對我們生心理產生影響。這也是為什麼某些味道，會勾起您那個美好時光及難忘旅行的回憶。這也是我們帶來這香氣的國度保加利亞，純手工澆鑄、無致癌物石化成分、無毒、無動物實驗！ 香味...,zeczec",45 天,2022/11/17 20:00 – 2023/01/05 02:00,2022/11/17 20:00:00,2023/01/05 02:00:00
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,2660492,3880,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",39 天,2022/11/17 12:00 – 2022/12/30 02:00,2022/11/17 12:00:00,2022/12/30 02:00:00
【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,KidenDesign,1411800,29800,https://www.zeczec.com/projects/shining3d-einstar,"【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,zeczec",29 天,2022/11/17 12:00 – 2022/12/20 23:59,2022/11/17 12:00:00,2022/12/20 23:59:00
Fangsis芳心【柚子花香木質調香氛｜兼具完美心意與質感的聖誕禮盒】告白，友誼，謝恩，交換禮物,Fangsis芳心,42960,1680,https://www.zeczec.com/projects/fangsis,"為了減緩今年柚農7000噸滯銷柚子的損失，我們使用文旦柚所提煉的精油，結合花香木質調香氛，設計出了最精美的聖誕禮盒。這份禮盒包含了我們心繫大地的情感，更表達出對儀式感、芳香、自然療癒的需要。,zeczec",24 天,2022/11/16 20:00 – 2022/12/15 02:00,2022/11/16 20:00:00,2022/12/15 02:00:00
Fuumas Puzzle 阿里山百年 SL-21 夏依式火車收藏紀念款模型 | 祝賀阿里山林業鐵路 & 夏依式火車 110 周年、3D 立體可動木質模型拼圖！,富馬樂創,1323266,1970,https://www.zeczec.com/projects/FuumasPuzzle-SL-21,"透過現代工藝、設計巧思，讓消費者以合理的價格，擁有「立體、可手動、著重細節」的DIY木質蒸汽機車拼圖！,zeczec",38 天,2022/11/16 10:30 – 2022/12/29 23:59,2022/11/16 10:30:00,2022/12/29 23:59:00
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,6116400,28900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",38 天,2022/11/15 21:00 – 2022/12/29 23:59,2022/11/15 21:00:00,2022/12/29 23:59:00
【WATCH THE MUSIC】潮流智能音樂眼鏡 / 墨鏡 - 讓科技融入生活、從此釋放雙耳！,KlassiC. x AES x SOLOS,986300,8200,https://www.zeczec.com/projects/klassic,"結合亞洲臉型鏡框、潮流時尚風格與最新智能科技，歷時兩年研發打造集聽歌通話與健康監測於一身，能自在配戴的整合性智慧音樂眼鏡 / 墨鏡！,zeczec",39 天,2022/11/15 21:00 – 2022/12/30 23:59,2022/11/15 21:00:00,2022/12/30 23:59:00
通過美國最高軍武級防護規格 | Wetop C300Pro 環境淨化器，主動清淨，即時淨化空氣及物體表面，專為呼吸安全打造,WETOP 數緯環境科技,1302420,19600,https://www.zeczec.com/projects/wetop-c300pro,"今年我們再度推出一台以 「即時呼吸安全防護」 的環境淨化器，不僅能夠淨化空氣、還可以淨化物體表面，提供最高規格的美國軍武級安全防護，同時又兼顧安全、安靜需求，以24小時不間斷使用標準，打造可固定...,zeczec",55 天,2022/11/15 21:00 – 2023/01/15 02:00,2022/11/15 21:00:00,2023/01/15 02:00:00
PasswordPocket 密碼記憶神器｜解放大腦！給你最安全、方便的登入新選擇！,Atlancube ,705140,780,https://www.zeczec.com/projects/passwordpocket,"密碼不再忘！重要資訊不再擔心被虧看！一切掌握在手中！Atlancube 團隊致力於將最新科技帶入生活，創造更安全、迅速、方便的世界。,zeczec",25 天,2022/11/14 15:00 – 2022/12/16 23:59,2022/11/14 15:00:00,2022/12/16 23:59:00
【 iSwift M｜便攜隱形折疊桌】進擊輕薄創造你的無限空間，隨時隨地辦公不設限。,iSwift Taiwan,670940,1540,https://www.zeczec.com/projects/iswift-m,"0.6公分超薄瘦設計，500克減重升級；一秒展開方便收納攜帶，M型支撐超穩結構；環保羊毛毯材質，室內戶外辦公休閒多功能使用；多色個性設計，3種多元尺寸隨心選。,zeczec",16 天,2022/11/10 12:00 – 2022/12/07 02:00,2022/11/10 12:00:00,2022/12/07 02:00:00
【Apartment.b 男子公寓】無重力內著 內著新革命｜無重力般的舒適體驗｜機能・抑菌・舒適,Apartment.b 男子公寓,700935,1499,https://www.zeczec.com/projects/apartmentb-underwear,"無重力內著，給您無重力般的舒適體驗｜使用Tactel Nylon6.6 超細纖維｜美國 Sciessent 銅銀離子 除臭技術｜創造時尚與機能兼具的新時代內著,zeczec",60 天,2022/11/10 11:00 – 2023/01/20 23:59,2022/11/10 11:00:00,2023/01/20 23:59:00
