projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,9458953.0,9490.0,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",15 天,2022/09/07 11:00 – 2022/10/17 23:59
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,4751340.0,4150.0,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",25 天,2022/09/06 21:00 – 2022/10/27 23:59
折折盒｜2 種型態，∞ 多可能，一秒切換平面/立體的多用途新經典折盒,ZENLET 禪與徠特,3075275.0,1320.0,https://www.zeczec.com/projects/FoldiBox,"一款選用食品級耐熱矽膠，搭配日本抗菌銀離子配方，並採磁吸固定以實現迅速攤平、直覺好清洗的多用途新經典折盒。,zeczec", 16 小時,2022/08/30 12:00 – 2022/10/04 02:00
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,955781.0,950.0,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",25 天,2022/09/27 11:30 – 2022/10/28 02:00
HoldU 懶人沙發椅｜是懶骨頭，更是床墊 ＆ 支撐沙發！一椅三用大革新，Hold Your Life！,WM台客嚴選,1490120.0,3490.0,https://www.zeczec.com/projects/holdu,"360 度沉浸包覆，享受懶骨頭帶來的放鬆，加上台灣製的支撐設計，包覆兼具支撐，怎麼坐都舒適，讓一椅適用多種生活情境，一張顛覆你想像的懶人沙發，不只是懶骨頭，也是支撐沙發，更是單人沙發床！,zeczec",34 天,2022/09/20 12:00 – 2022/11/06 02:00
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,4977220.0,2800.0,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",44 天,2022/09/21 12:00 – 2022/11/15 23:59
森下 沉浸式調光 LED 吸頂燈｜家的氛圍由你掌控，享受質感生活新濾鏡,MST 森下照明 x 有設計,1367489.0,590.0,https://www.zeczec.com/projects/mst,"2022 最強居家改造計畫，「森下吸頂燈」提供遙控多段調光，可隨心所欲自由調整，搭配四種色光模式，適用各種日常情境，讓你輕鬆打造高質感生活風格。,zeczec", 38 小時,2022/08/23 10:30 – 2022/10/04 23:59
,,,,https://www.zeczec.com/projects/showtime,,,
,,,,https://www.zeczec.com/projects/armada,,,
,,,,https://www.zeczec.com/projects/ideacam,,,
,,,,https://www.zeczec.com/projects/toesmerryv2,,,
,,,,https://www.zeczec.com/projects/sleepytofu-sofa,,,
,,,,https://www.zeczec.com/projects/yomaomao2023calendar,,,
,,,,https://www.zeczec.com/projects/moneycome,,,
,,,,https://www.zeczec.com/projects/graduation-book-funding-project,,,
,,,,https://www.zeczec.com/projects/spirittarot_taiwan,,,
,,,,https://www.zeczec.com/projects/ulani,,,
2023《365養食曆》｜365天 五行×五季×五臟 養生食補日曆 ,漾品啟鎂,328082.0,999.0,https://www.zeczec.com/projects/calendar365,"這是一本將養食觀念結合東方五行概念的養生食補日曆， 跟著時節這樣吃，讓您食在健康、食全食美！,zeczec",59 天,2022/09/28 12:00 – 2022/11/30 23:59
未來美✨逆時微電雙波機｜年輕緊緻 + 緊實淡紋，只要 10 分鐘 Hold 住緊緻好狀態！,未來美,7848651.0,8800.0,https://www.zeczec.com/projects/beauty-device,"居家頂級美容儀「雙波合一」！在家就可以擁有年輕緊緻護理，防止肌膚老化，鍛鍊臉部線條！,zeczec",23 天,2022/09/13 12:00 – 2022/10/26 02:00
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,3246344.0,980.0,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",29 天,2022/09/21 21:00 – 2022/10/31 23:59
