【IDMIX / P140 / 140W GaN 氮化鎵快速充電器】爆猛 140W 充電王者降臨！同級最高功率、支援 PD3.1、2C1A 強效輸出！,Chic Flott 奇舫優選,128465,1980,https://www.zeczec.com/projects/idmix-p140-140w-gan-140w-2c1a,"同級最高規格 140W 輸出功率，可支援 MacBook Pro 全速充電 & 眾多品牌之筆記型電腦、平板電腦、智慧型手機進行充電，日用、差旅、辦公、出遊，就這麼一顆，搞定你的充電事！,zeczec",58 天,2022/04/15 12:00 – 2022/06/14 23:59,2022/04/15 12:00:00,2022/06/14 23:59:00
《請上車》爽快的路徑規劃紙筆遊戲，在倫敦和紐約公車設立最受歡迎的巴士路線吧！,栢龍玩具,72630,750,https://www.zeczec.com/projects/Get-on-Board,"請上車是一款爽快的路徑規劃紙筆遊戲，比起一般的紙筆遊戲，有著高度的玩家互動且精美的遊戲配件，更有超乎想像的重玩性。,zeczec",28 天,2022/04/15 12:00 – 2022/05/15 23:59,2022/04/15 12:00:00,2022/05/15 23:59:00
【虎爺將軍聖誕千秋】闔家拜拜最喜氣的供品－炭大桔虎爺開運皂！虎力保護！,88財神,8380,460,https://www.zeczec.com/projects/moneygods-tiger,"炭大桔虎爺開運皂，使用胡蘿蔔素和竹炭，彩繪出虎爺將軍身上的美麗紋路，成為與眾不同的祝壽賀禮拜拜供品。,zeczec",64 天,2022/04/15 12:00 – 2022/06/20 23:59,2022/04/15 12:00:00,2022/06/20 23:59:00
中女青年138期《花季徘徊》| 一本關於青春、迷茫與成長的刊物,中女青年,3060,260,https://www.zeczec.com/projects/tcgseditor,"中女青年138期《花季徘徊》，以花季作為青春象徵，書寫成長的必經旅程：徘徊。,zeczec",40 天,2022/04/15 12:00 – 2022/05/27 23:59,2022/04/15 12:00:00,2022/05/27 23:59:00
|好|事|百|靈| eLIGHTS。百靈菇。原生自高海拔地區，初次在台灣栽培量產成功的珍稀菌種,銥光農業,1000,550,https://www.zeczec.com/projects/elights2203,"海洋香氣般的獨特鮮味・脆實Q彈口感・吃過一次絕對印象深刻的主角級食材,zeczec",59 天,2022/04/15 12:00 – 2022/06/15 23:59,2022/04/15 12:00:00,2022/06/15 23:59:00
【真無線∞空氣清淨機】擺脫有線束縛、成就無限淨化！四大強效All in one，隨心移動無限制,KINYO,248458,2080,https://www.zeczec.com/projects/AO-600,"充電式設計，內建大容量電池，使用時不再受限於插座位置，讓生活中的多餘電線通通消失，達到真正「無線」和「無限」。體積變小、效能再提升！四大淨全面保護，實現走到哪、淨到哪的生活品質。,zeczec",28 天,2022/04/15 11:00 – 2022/05/15 23:59,2022/04/15 11:00:00,2022/05/15 23:59:00
【聲藝】 學習聲音的藝術，幫助你談成生意，搞定關係,歐馬克,940708,1980,https://www.zeczec.com/projects/metavoice,"成立一個幫助人們探索與認識自己的平台，提供文章、影音、線上課程、線下工作坊資源，讓人們可以活出理想的生活，成為心目中的自己,zeczec",57 天,2022/04/13 21:00 – 2022/06/13 23:59,2022/04/13 21:00:00,2022/06/13 23:59:00
【SHIELD 酷熱貼】一機享受冷熱真功敷 | 全球首創、台灣製造,Aurai,3492034,1980,https://www.zeczec.com/projects/Aurai-Shield,"重新定義放鬆！再忙也要照顧自己、守護家人｜每個放鬆時刻都有歐萊依Aurai,zeczec",44 天,2022/04/13 12:00 – 2022/05/31 23:59,2022/04/13 12:00:00,2022/05/31 23:59:00
WOKY ♃99純鈦濾芯陶瓷環保杯      500ml  |  承載99.9%純鈦茶濾芯及經典一體1.8mm陶瓷保溫技術 將時間暫停  靜心品味 一同為純粹乾杯 ,WOKY,729668,1550,https://www.zeczec.com/projects/WOKY-ZETA500ml,"從WOKY廣受好評的好口杯延伸，2022業界全新♃99鈦濾芯異元素，結合喜歡陶瓷親潤感又欲追求更高奢華品味的職人尖端新選擇。,zeczec",29 天,2022/04/13 12:00 – 2022/05/16 23:59,2022/04/13 12:00:00,2022/05/16 23:59:00
【THEZAM｜ALL-IN-ONE親膚無鋼圈套裝】睡衣/居家服/外出衣/安全褲一套搞定，韓國熱銷50萬套超舒適親膚套裝！,Thezam Taiwan,17300,1250,https://www.zeczec.com/projects/thezam-tw,"專為亞洲女性打造專屬的舒適居家服，一套搞定多種場合，無鋼圈也能給你滿滿的安全&舒適感！,zeczec",19 天,2022/04/13 12:00 – 2022/05/07 02:00,2022/04/13 12:00:00,2022/05/07 02:00:00
